Transaction_ID,Bank,Card_Number,Price,PNR
342344,IOB,5623568276587429,NULL,PNR001
676756,CANARA BANK,7367562354828783,NULL,PNR002
978776,UNION BANK,1I54978597435874,NULL,PNR003
531343,SBI,8953274872387834,NULL,PNR004
978098,INDIAN BANK,9887325842587643,NULL,PNR005
146445,HDFC,1234325465675789,NULL,PNR006
576768,ICICI,7563564537687986,NULL,PNR007
746745,KOTAK,2545643654365765,NULL,PNR008
243546,INDIAN BANK,5657643532868753,NULL,PNR009
867546,UNION BANK,4657687568753421,NULL,PNR010
867547,SBI,7466352359808041,NULL,PNR011
243535,UNION BANK,2436465479086664,NULL,PNR012
565767,SBI,4465732134165378,NULL,PNR013
354364,CANARA BANK,5768794252537499,NULL,PNR014
758900,UNION BANK,2432657659898988,NULL,PNR015
