Dealer_ID,Name,Street,City,State,Pin
1,Ajit,Brigade Road,Bangalore,Karnataka,560001
2,Rudra,Bhashyam Circle,Bangalore,Karnataka,560010
3,Arjun,Bapuji Nagar,Bangalore,Karnataka,560026
4,Mohamad,Chickpet,Bangalore,Karnataka,560053
5,Nirmala,Domlur,Bangalore,Karnataka,560071
6,Raghu,HSR Layout,Bangalore,Karnataka,560102
7,Likith,Hosur Road,Bangalore,Karnataka,560030
8,Kiran,Indira Nagar,Bangalore,Karnataka,560038
9,Sherif,JP Nagar,Bangalore,Karnataka,560078
10,Tanish,Kannur,Bangalore,Karnataka,562149
